id;question;navedeni_izvori;dohvaceni_izvori;auto_ocjena;rucna_ocjena;napomena
MET-03;Koje mjere povećanja energetske učinkovitosti obuhvaća građevinska (vanjska) ovojnica zgrade prema Metodologiji 2021?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 198;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 198; Metodologija provođenja energetskog pregleda zgrada 2021, str. 2; Metodologija provođenja energetskog pregleda zgrada 2021, str. 192";tocno;tocno;odgovor temelji na dohvaćenim stranicama iako su one sadržajno netočne
MET-04;Za koje sustave i uz koji prag nazivne snage je prema Metodologiji 2021 obvezan redoviti pregled sustava grijanja i hlađenja prostora?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 271;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 274; Metodologija provođenja energetskog pregleda zgrada 2021, str. 272; Metodologija provođenja energetskog pregleda zgrada 2021, str. 271";tocno;tocno;
VEN-01;Koje uvjete moraju ispunjavati tehnička svojstva sustava ventilacije prema Tehničkom propisu o sustavima ventilacije?;Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 8;"Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 6; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 8; Metodologija provođenja energetskog pregleda zgrada 2021, str. 276";tocno;tocno;
VEN-02;Što mora sadržavati strojarski projekt sustava ventilacije kao sastavni dio glavnog projekta zgrade prema Tehničkom propisu?;Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 12;"Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 9; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 12; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 22";tocno;tocno;
VEN-03;Što nadzorni inženjer mora provjeriti neposredno prije početka izvođenja sustava ventilacije prema Prilogu B Tehničkog propisa?;"Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 12; Metodologija provođenja energetskog pregleda zgrada 2021, str. 206";"Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 24; Metodologija provođenja energetskog pregleda zgrada 2021, str. 206; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 12";tocno;tocno;
VEN-04;Koliko se često provode redoviti pregledi sustava ventilacije tijekom održavanja i za koje je sustave ispitivanje obvezno prema Tehničkom propisu?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 276;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 277; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 9; Metodologija provođenja energetskog pregleda zgrada 2021, str. 276";tocno;netocno?;navodi metodoloju kao izvor no odgovor baš i nije utemeljen na tome
JPO-01;Tko može biti korisnik sredstava i koje uvjete mora ispuniti prijavitelj na Javni poziv EnU-6/25?;Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 2;"Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 6; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 2; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 7";tocno;tocno;odogovr je sarzajno tocan citiranim izvorima
JPO-02;Koji je minimalni stupanj korisnog djelovanja fotonaponskih modula za prihvatljivost sufinanciranja prema Javnom pozivu EnU-6/25?;Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 1;"Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 3; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 1";tocno;tocno;odogovr je sarzajno tocan citiranim izvorima
JPO-03;Koji je iznos potpore po kW i maksimalni udio sufinanciranja opravdanih troškova prema Javnom pozivu EnU-6/25?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 93;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 93; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 54; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 50";tocno;tocno;odogovr je sadržajno kriv jer se temelji na krvimi dokumentima ali sadržajno odgovra dohvaćenim stranicama
JPO-04;U kojem roku i na koji način Fond isplaćuje odobrena sredstva korisniku prema Javnom pozivu EnU-6/25?;"Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 8; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 7";"Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 8; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 7";tocno;tocno;odogovr je sarzajno tocan citiranim izvorima
